age,workclass,education,marital-status,occupation,sex,capital-gain,hours-per-week,income
39, State-gov, Bachelors, Never-married, Adm-clerical, Male,2174,40,<=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Male,0,13,<=50K
38, Private, HS-grad, Divorced, Handlers-cleaners, Male,0,40,<=50K
53, Private,11th, Married-civ-spouse, Handlers-cleaners, Male,0,40,<=50K
28, Private, Bachelors, Married-civ-spouse, Prof-specialty, Female,0,40,<=50K
37, Private, Masters, Married-civ-spouse, Exec-managerial, Female,0,40,<=50K
49, Private,9th, Married-spouse-absent, Other-service, Female,0,16,<=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Male,0,45,>50K
31, Private, Masters, Never-married, Prof-specialty, Female,14084,50,>50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Male,5178,40,>50K
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Male,0,80,>50K
30, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Male,0,40,>50K
23, Private, Bachelors, Never-married, Adm-clerical, Female,0,30,<=50K
32, Private, Assoc-acdm, Never-married, Sales, Male,0,50,<=50K
40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Male,0,40,>50K
34, Private,7th-8th, Married-civ-spouse, Transport-moving, Male,0,45,<=50K
25, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Male,0,35,<=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Male,0,40,<=50K
38, Private,11th, Married-civ-spouse, Sales, Male,0,50,<=50K
43, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Female,0,45,>50K
40, Private, Doctorate, Married-civ-spouse, Prof-specialty, Male,0,60,>50K
54, Private, HS-grad, Separated, Other-service, Female,0,20,<=50K
35, Federal-gov,9th, Married-civ-spouse, Farming-fishing, Male,0,40,<=50K
43, Private,11th, Married-civ-spouse, Transport-moving, Male,0,40,<=50K
59, Private, HS-grad, Divorced, Tech-support, Female,0,40,<=50K
56, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Male,0,40,>50K
19, Private, HS-grad, Never-married, Craft-repair, Male,0,40,<=50K
54, ?, Some-college, Married-civ-spouse, ?, Male,0,60,>50K
39, Private, HS-grad, Divorced, Exec-managerial, Male,0,80,<=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Male,0,40,<=50K
23, Local-gov, Assoc-acdm, Never-married, Protective-serv, Male,0,52,<=50K
20, Private, Some-college, Never-married, Sales, Male,0,44,<=50K
45, Private, Bachelors, Divorced, Exec-managerial, Male,0,40,<=50K
30, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Male,0,40,<=50K
22, State-gov, Some-college, Married-civ-spouse, Other-service, Male,0,15,<=50K
48, Private,11th, Never-married, Machine-op-inspct, Male,0,40,<=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Male,0,40,<=50K
19, Private, HS-grad, Married-AF-spouse, Adm-clerical, Female,0,25,<=50K
31, Private, Some-college, Married-civ-spouse, Sales, Male,0,38,>50K
48, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Male,0,40,<=50K
31, Private,9th, Married-civ-spouse, Machine-op-inspct, Male,0,43,<=50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Male,0,40,<=50K
24, Private, Bachelors, Married-civ-spouse, Tech-support, Male,0,50,<=50K
49, Private, HS-grad, Separated, Adm-clerical, Female,0,40,<=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Male,0,35,<=50K
57, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Male,0,40,>50K
53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Male,0,38,<=50K
44, Private, Masters, Divorced, Exec-managerial, Female,0,40,<=50K
41, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Male,0,40,<=50K
29, Private, Assoc-voc, Never-married, Prof-specialty, Male,0,43,<=50K
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Female,0,40,<=50K
18, Private, HS-grad, Never-married, Other-service, Female,0,30,<=50K
47, Private, Prof-school, Married-civ-spouse, Prof-specialty, Female,0,60,>50K
50, Federal-gov, Bachelors, Divorced, Exec-managerial, Male,0,55,>50K
47, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Male,0,60,<=50K
43, Private, Some-college, Married-civ-spouse, Tech-support, Male,0,40,>50K
46, Private,5th-6th, Married-civ-spouse, Machine-op-inspct, Male,0,40,<=50K
35, Private, Assoc-voc, Married-civ-spouse, Other-service, Male,0,40,<=50K
41, Private, HS-grad, Married-civ-spouse, Adm-clerical, Male,0,48,<=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Male,5013,40,<=50K
30, Private, Bachelors, Married-civ-spouse, Sales, Male,2407,40,<=50K
32, ?,7th-8th, Married-spouse-absent, ?, Male,0,40,<=50K
