Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,EventName,SessionType,EventDate,Time_weather,AirTemp,TrackTemp,Humidity,AvgSpeed,MaxThrottle,AvgBrake
VER,1,,1.0,1.0,,,,30.958,43.532,,0 days 00:46:39.762000,0 days 00:47:23.314000,278.0,271.0,256.0,310.0,False,MEDIUM,4.0,False,Red Bull Racing,2738.934,2024-04-20 03:04:02.541,1,3.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
OCO,31,,1.0,1.0,,,,32.745,45.939,,0 days 00:46:44.663000,0 days 00:47:30.498000,261.0,269.0,252.0,310.0,False,MEDIUM,1.0,True,Alpine,2738.934,2024-04-20 03:04:02.541,1,16.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
HAM,44,,1.0,1.0,,,,29.894,43.468,,0 days 00:46:38.077000,0 days 00:47:21.632000,275.0,269.0,252.0,308.0,False,MEDIUM,1.0,True,Mercedes,2738.934,2024-04-20 03:04:02.541,1,1.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
BOT,77,,1.0,1.0,,,,32.489,45.728,,0 days 00:46:42.607000,0 days 00:47:28.369000,283.0,273.0,254.0,316.0,False,MEDIUM,5.0,False,Kick Sauber,2738.934,2024-04-20 03:04:02.541,1,11.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
GAS,10,,1.0,1.0,,,,32.88,46.529,,0 days 00:46:44.663000,0 days 00:47:31.133000,281.0,261.0,247.0,317.0,False,MEDIUM,1.0,True,Alpine,2738.934,2024-04-20 03:04:02.541,1,17.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
PER,11,,1.0,1.0,,,,31.597,43.771,,0 days 00:46:40.830000,0 days 00:47:24.505000,280.0,271.0,252.0,314.0,False,MEDIUM,4.0,False,Red Bull Racing,2738.934,2024-04-20 03:04:02.541,1,5.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
RIC,3,,1.0,1.0,,,,32.399,45.728,,0 days 00:46:43.396000,0 days 00:47:29.082000,289.0,269.0,255.0,318.0,False,MEDIUM,4.0,False,RB,2738.934,2024-04-20 03:04:02.541,1,13.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
TSU,22,,1.0,1.0,,,,33.048,46.153,,0 days 00:46:45.271000,0 days 00:47:31.517000,278.0,272.0,251.0,320.0,False,MEDIUM,1.0,True,RB,2738.934,2024-04-20 03:04:02.541,1,18.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
MAG,20,,1.0,1.0,,,,32.175,45.657,,0 days 00:46:42.402000,0 days 00:47:27.964000,274.0,270.0,253.0,314.0,False,MEDIUM,5.0,False,Haas F1 Team,2738.934,2024-04-20 03:04:02.541,1,10.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
HUL,27,,1.0,1.0,,,,32.614,45.624,,0 days 00:46:44.073000,0 days 00:47:29.677000,285.0,267.0,253.0,323.0,False,MEDIUM,5.0,False,Haas F1 Team,2738.934,2024-04-20 03:04:02.541,1,14.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
ZHO,24,,1.0,1.0,,,,31.766,45.389,,0 days 00:46:42,0 days 00:47:27.446000,276.0,262.0,253.0,312.0,False,MEDIUM,5.0,False,Kick Sauber,2738.934,2024-04-20 03:04:02.541,1,9.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
ALB,23,,1.0,1.0,,,,32.807,46.717,,0 days 00:46:44.999000,0 days 00:47:31.810000,280.0,269.0,255.0,311.0,False,MEDIUM,7.0,False,Williams,2738.934,2024-04-20 03:04:02.541,1,19.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
