country,Purchasing Power Value,Purchasing Power Category,Safety Value,Safety Category,Health Care Value,Health Care Category,Climate Value,Climate Category,Cost of Living Value,Cost of Living Category,Property Price to Income Value,Property Price to Income Category,Traffic Commute Time Value,Traffic Commute Time Category,Pollution Value,Pollution Category,Quality of Life Value,Quality of Life Category
Afghanistan,32.15,'Very Low',25.33,'Low',24.24,'Low',0.0,None,21.08,'Very Low',7.8,'Low',56.17,'Very High',84.44,'Very High',0.0,None
Aland Islands,125.01,'Very High',71.81,'High',79.72,'High',0.0,None,53.44,'Low',5.33,'Low',19.05,'Very Low',18.05,'Very Low',0.0,None
Albania,42.82,'Low',55.52,'Moderate',48.21,'Moderate',86.43,'Very High',40.85,'Low',14.88,'High',36.74,'Moderate',77.25,'High',': 104.16','Low'
Alderney,0.0,None,83.79,'Very High',100.0,'Very High',0.0,None,0.0,None,0.0,None,5.0,'Very Low',1.72,'Very Low',0.0,None
Algeria,27.6,'Very Low',47.54,'Moderate',54.43,'Moderate',94.82,'Very High',25.31,'Very Low',21.7,'Very High',45.09,'High',63.87,'High',': 98.83','Very Low'
American Samoa,0.0,None,54.41,'Moderate',0.0,None,0.0,None,0.0,None,0.0,None,100.0,'Very High',78.45,'High',0.0,None
Andorra,121.14,'Very High',84.71,'Very High',75.56,'High',0.0,None,48.09,'Low',9.03,'Moderate',13.33,'Very Low',22.98,'Low',0.0,None
Angola,224.46,'Very High',33.71,'Low',36.58,'Low',0.0,None,42.57,'Low',8.01,'Moderate',65.43,'Very High',92.07,'Very High',0.0,None
Anguilla,0.0,None,75.44,'High',77.08,'High',0.0,None,0.0,None,1.8399999999999999,'Very Low',0.0,None,0.0,None,0.0,None
Antigua And Barbuda,0.0,None,42.86,'Moderate',30.56,'Low',0.0,None,0.0,None,0.0,None,35.0,'Moderate',43.1,'Moderate',0.0,None
Argentina,40.36,'Low',36.36,'Low',68.0,'High',98.28,'Very High',32.65,'Very Low',20.05,'Very High',44.07,'High',50.81,'Moderate',': 115.06','Low'
Armenia,36.91,'Very Low',77.81,'High',58.07,'Moderate',63.42,'High',41.84,'Low',20.95,'Very High',29.31,'Low',62.55,'High',': 116.56','Low'
Aruba,71.46,'Moderate',69.23,'High',78.7,'High',0.0,None,79.42,'High',5.32,'Low',46.33,'High',35.7,'Low',0.0,None
Australia,137.58,'Very High',52.71,'Moderate',73.35,'High',93.8,'Very High',64.5,'Moderate',8.25,'Moderate',37.48,'Moderate',26.8,'Low',': 190.69','Very High'
Austria,109.08,'High',70.38,'High',77.83,'High',77.4,'High',62.22,'Moderate',11.76,'Moderate',23.77,'Very Low',20.73,'Low',': 192.07','Very High'
Azerbaijan,41.75,'Low',68.12,'High',48.31,'Moderate',91.4,'Very High',30.26,'Very Low',15.24,'High',40.63,'Moderate',72.69,'High',': 113.51','Low'
Bahamas,58.59,'Low',43.76,'Moderate',39.52,'Low',0.0,None,81.3,'High',5.32,'Low',27.69,'Low',61.34,'High',0.0,None
Bahrain,114.56,'Very High',75.28,'High',66.6,'High',64.31,'High',48.79,'Low',4.9,'Very Low',30.74,'Low',71.57,'High',': 158.68','High'
Bangladesh,36.16,'Very Low',38.79,'Low',42.2,'Moderate',71.29,'High',20.76,'Very Low',12.26,'High',57.57,'Very High',85.31,'Very High',': 74.51','Very Low'
Barbados,46.93,'Low',55.14,'Moderate',71.88,'High',0.0,None,70.6,'Moderate',14.67,'High',36.67,'Moderate',24.39,'Low',0.0,None
Belarus,56.24,'Low',49.99,'Moderate',48.5,'Moderate',64.37,'High',25.11,'Very Low',12.79,'High',31.2,'Low',44.94,'Moderate',': 127.48','Moderate'
