EventName,Driver,QualyAvg_LapTime,QualyFastest_LapTime,QualyAvgSpeedI1,QualyAvgSpeedI2
Abu Dhabi Grand Prix,ALB,95.8845,83.821,265.6666666666667,281.5
Australian Grand Prix,ALB,91.0515,77.13,259.0,288.46666666666664
Austrian Grand Prix,ALB,81.284,65.736,294.8888888888889,205.33333333333334
Azerbaijan Grand Prix,ALB,117.25225,102.84,173.73684210526315,204.89473684210526
Bahrain Grand Prix,ALB,104.6405,90.221,201.66666666666666,238.41666666666666
Belgian Grand Prix,ALB,124.1147,114.473,295.8125,169.75
British Grand Prix,ALB,101.51093333333333,86.64,271.54545454545456,233.5909090909091
Canadian Grand Prix,ALB,86.7505,72.485,232.57692307692307,250.46153846153845
Chinese Grand Prix,ALB,108.90325,95.241,246.85714285714286,249.28571428571428
Dutch Grand Prix,ALB,85.02233333333334,70.653,248.94444444444446,248.55555555555554
Emilia Romagna Grand Prix,ALB,88.40025,76.2,198.5,236.25
Hungarian Grand Prix,ALB,90.65191666666668,76.429,242.3125,222.4375
Italian Grand Prix,ALB,92.23681818181818,80.299,274.44444444444446,313.94444444444446
Japanese Grand Prix,ALB,107.71666666666665,89.714,254.55555555555554,267.44444444444446
Las Vegas Grand Prix,ALB,107.69225,94.425,161.9,197.3
Mexico City Grand Prix,ALB,85.89645454545455,76.988,282.1111111111111,259.5
Miami Grand Prix,ALB,103.16869999999999,88.343,195.66666666666666,157.66666666666666
Monaco Grand Prix,ALB,87.10068,70.948,175.41379310344828,177.24137931034483
Qatar Grand Prix,ALB,98.87985714285715,82.39,210.77777777777777,245.0
Saudi Arabian Grand Prix,ALB,107.6709090909091,88.98,264.625,282.2
Singapore Grand Prix,ALB,106.13285714285715,90.474,285.75,241.41666666666666
Spanish Grand Prix,ALB,87.0795,73.153,212.33333333333334,257.5
São Paulo Grand Prix,ALB,96.41582352941177,84.657,275.32,183.08333333333334
United States Grand Prix,ALB,110.83800000000001,94.051,194.375,146.0
Abu Dhabi Grand Prix,ALO,97.95116666666667,83.196,253.52631578947367,268.10526315789474
Australian Grand Prix,ALO,91.464625,76.71,267.95,293.45
Austrian Grand Prix,ALO,76.978,65.639,284.0,201.0
Azerbaijan Grand Prix,ALO,117.70708333333333,102.369,179.26315789473685,184.73684210526315
Bahrain Grand Prix,ALO,107.38077777777778,89.542,216.85714285714286,221.07142857142858
Belgian Grand Prix,ALO,121.69908333333332,114.258,280.9130434782609,167.7391304347826
British Grand Prix,ALO,102.077875,86.73,278.4347826086956,245.2608695652174
Canadian Grand Prix,ALO,88.4794705882353,72.228,238.0,264.7391304347826
Chinese Grand Prix,ALO,112.00566666666666,94.148,236.8,224.2
Dutch Grand Prix,ALO,84.10218181818182,70.633,262.4375,251.875
Emilia Romagna Grand Prix,ALO,106.9465,76.917,204.0,238.57142857142858
Hungarian Grand Prix,ALO,90.30909090909091,76.043,247.44444444444446,221.94444444444446
Italian Grand Prix,ALO,94.67871428571428,80.421,264.3636363636364,275.0
Japanese Grand Prix,ALO,107.139375,88.686,251.41666666666666,266.8333333333333
Las Vegas Grand Prix,ALO,108.49957142857144,94.258,170.88888888888889,186.44444444444446
Mexico City Grand Prix,ALO,94.334,77.168,268.9166666666667,260.5
Miami Grand Prix,ALO,106.2099090909091,88.427,191.66666666666666,167.8
Monaco Grand Prix,ALO,85.249,72.019,191.0,180.9090909090909
Qatar Grand Prix,ALO,95.60025,81.208,222.31578947368422,259.8421052631579
Saudi Arabian Grand Prix,ALO,104.74583333333334,87.846,266.8235294117647,285.70588235294116
Singapore Grand Prix,ALO,106.9578888888889,90.214,242.75,241.75
Spanish Grand Prix,ALO,93.390625,72.128,236.25,230.75
São Paulo Grand Prix,ALO,97.98758333333332,85.035,269.0,188.6
United States Grand Prix,ALO,105.47891666666668,93.309,191.88888888888889,158.77777777777777
Azerbaijan Grand Prix,BEA,116.1192,102.968,184.71428571428572,195.78571428571428
Saudi Arabian Grand Prix,BEA,105.03258333333333,88.642,269.1666666666667,259.3333333333333
São Paulo Grand Prix,BEA,98.017375,91.229,257.1,143.1
Abu Dhabi Grand Prix,BOT,94.74655555555555,83.204,262.46666666666664,273.6
Australian Grand Prix,BOT,92.72381818181817,77.34,253.2,275.4
Austrian Grand Prix,BOT,80.46083333333333,65.847,257.3333333333333,213.55555555555554
Azerbaijan Grand Prix,BOT,122.75219999999999,103.618,185.42857142857142,190.71428571428572
Bahrain Grand Prix,BOT,105.14725,90.756,208.83333333333334,247.16666666666666
Belgian Grand Prix,BOT,128.47718181818183,114.764,284.5882352941176,163.58823529411765
