Estadísticas Climatológicas Normales - período 1991-2020													
													
Se deja constancia que la información vertida en el presente informe puede sufrir variaciones debido a los procesos de consistencia y depuración a los que es sometida la misma	
S/D: Sin Dato	
Las estadísticas de las estaciones que poseen un asterisco(*) en su nombre, fueron confeccionadas con un período algo menor que 1991-2020  


Estación	Valor Medio de	Ene	Feb	Mar	Abr	May	Jun	Jul	Ago	Sep	Oct	Nov	Dic	
LA QUIACA OBSERVATORIO	Temperatura (°C)	13.2	13.0	12.8	11.3	7.3	4.8	4.5	7.0	10.0	12.4	13.4	13.9	
LA QUIACA OBSERVATORIO	Temperatura máxima (°C)	20.6	20.4	20.6	20.3	17.8	16.3	16.1	18.0	20.0	21.7	22.5	22.2	
LA QUIACA OBSERVATORIO	Temperatura mínima (°C)	7.7	7.6	6.6	3.1	-2.5	-5.7	-6.2	-4.0	-0.4	3.3	5.5	7.3	
LA QUIACA OBSERVATORIO	Humedad relativa (%)	62.6	63.2	60.3	46.0	32.6	27.4	25.7	26.7	32.1	42.4	48.6	55.8	
LA QUIACA OBSERVATORIO	Velocidad del Viento (km/h) (2011-2020)	6.5	6.8	6.7	5.5	4.8	5.5	5.9	6.7	7.9	7.9	7.7	7.1	
LA QUIACA OBSERVATORIO	Nubosidad total (octavos)	4.9	4.7	3.7	2.3	1.6	1.4	1.3	1.3	1.8	2.6	3.1	4.1	
LA QUIACA OBSERVATORIO	Precipitación (mm)	101.9	67.9	48.1	6.8	1.1	0.0	0.0	1.2	3.9	14.4	22.2	63.2	
LA QUIACA OBSERVATORIO	Frecuencia de días con Precipitación superior a 1.0 mm	11.5	9.2	6.8	1.4	0.2	0.0	0.0	0.2	0.6	2.3	3.8	8.6	
ORÁN AERO*	Temperatura (°C)	26.4	25.4	23.9	21.3	18.1	15.6	14.9	17.6	21.0	24.5	25.5	26.4	
ORÁN AERO*	Temperatura máxima (°C)	32.8	31.4	29.4	26.5	23.4	21.6	22.4	26.2	29.4	31.8	32.4	33.2	
ORÁN AERO*	Temperatura mínima (°C)	21.6	21.2	20.3	17.9	14.5	11.3	9.6	11.1	14.2	18.4	19.7	21.2	
ORÁN AERO*	Humedad relativa (%)	76.5	79.3	82.8	84.3	83.6	81.0	73.8	63.3	55.7	61.1	66.7	71.5	
ORÁN AERO*	Velocidad del Viento (km/h) (2011-2020)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
ORÁN AERO*	Nubosidad total (octavos)	5.2	5.4	5.7	5.7	5.6	5.0	4.0	3.2	3.7	4.8	5.0	5.1	
ORÁN AERO*	Precipitación (mm)	198.4	185.9	157.8	59.5	22.6	7.1	3.0	3.5	16.3	58.9	97.3	157.3	
ORÁN AERO*	Frecuencia de días con Precipitación superior a 1.0 mm	10.5	10.1	10.7	7.8	3.8	1.4	1.0	0.7	1.7	5.0	6.9	9.4	
TARTAGAL AERO	Temperatura (°C)	26.0	24.9	23.5	20.9	17.7	15.4	14.8	17.9	21.1	24.4	25.2	26.0	
TARTAGAL AERO	Temperatura máxima (°C)	32.3	31.0	29.0	26.1	23.0	21.5	22.1	26.0	28.9	31.4	31.9	32.5	
TARTAGAL AERO	Temperatura mínima (°C)	20.8	20.3	19.5	17.1	13.6	11.1	9.3	10.9	14.1	18.0	19.1	20.4	
TARTAGAL AERO	Humedad relativa (%)	73.8	78.4	82.0	82.4	81.8	78.9	69.5	56.1	50.6	57.0	63.5	69.8	
TARTAGAL AERO	Velocidad del Viento (km/h) (2011-2020)	8.0	7.5	6.6	6.5	6.3	6.8	7.3	9.3	10.1	10.7	9.8	8.7	
TARTAGAL AERO	Nubosidad total (octavos)	4.9	5.0	S/D	5.3	5.3	4.8	3.8	2.9	3.5	4.5	4.7	4.9	
TARTAGAL AERO	Precipitación (mm)	193.2	197.8	164.5	59.3	24.4	8.7	4.0	3.8	17.9	46.3	112.2	165.0	
TARTAGAL AERO	Frecuencia de días con Precipitación superior a 1.0 mm	9.6	9.8	9.9	7.2	4.4	2.2	1.2	0.7	1.7	4.5	7.3	9.0	
JUJUY AERO	Temperatura (°C)	23.8	22.7	21.3	18.5	15.1	12.5	11.9	15.1	18.4	21.9	23.1	24.0	
JUJUY AERO	Temperatura máxima (°C)	30.3	28.8	27.1	24.3	21.3	19.9	20.1	23.6	26.4	29.0	30.0	30.7	
JUJUY AERO	Temperatura mínima (°C)	18.5	17.9	17.0	14.1	10.4	7.3	6.0	8.2	11.0	15.1	16.7	18.1	
JUJUY AERO	Humedad relativa (%)	73.2	77.5	81.1	81.5	79.3	75.9	67.1	55.7	50.0	55.7	60.7	67.3	
JUJUY AERO	Velocidad del Viento (km/h) (2011-2020)	8.7	8.3	7.9	7.8	7.3	8.2	9.1	11.3	10.8	10.4	10.4	8.9	
JUJUY AERO	Nubosidad total (octavos)	5.2	5.3	5.4	5.2	4.8	4.1	3.3	2.8	3.3	4.2	4.5	4.8	
JUJUY AERO	Precipitación (mm)	147.6	154.0	131.8	51.7	13.6	4.3	2.8	2.1	5.1	28.8	56.1	122.5	
JUJUY AERO	Frecuencia de días con Precipitación superior a 1.0 mm	11.3	10.4	10.9	6.5	2.5	1.1	0.5	0.5	1.1	3.6	5.8	9.2	
JUJUY U N	Temperatura (°C)	21.1	20.2	19.1	16.6	13.4	11.1	10.2	13.0	15.7	19.0	20.2	21.3	
JUJUY U N	Temperatura máxima (°C)	27.3	26.2	24.8	22.4	19.6	18.6	18.6	21.7	24.0	26.4	27.1	27.7	
JUJUY U N	Temperatura mínima (°C)	16.7	16.2	15.5	12.7	9.1	5.9	4.5	6.4	9.1	12.9	14.6	16.2	
JUJUY U N	Humedad relativa (%)	80.7	83.7	84.9	84.7	83.0	79.3	74.1	65.3	62.6	67.0	71.1	77.0	
JUJUY U N	Velocidad del Viento (km/h) (2011-2020)	4.2	4.4	4.4	4.5	4.4	4.5	4.4	4.9	5.0	5.1	4.9	4.6	
JUJUY U N	Nubosidad total (octavos)	5.8	5.8	5.8	5.4	5.0	4.1	3.5	3.0	3.4	4.6	4.9	5.3	
JUJUY U N	Precipitación (mm)	191.5	188.0	166.5	62.0	20.9	9.5	7.1	5.9	9.4	40.8	97.5	152.1	
JUJUY U N	Frecuencia de días con Precipitación superior a 1.0 mm	13.8	13.5	13.3	7.6	4.5	2.8	2.3	1.7	2.5	5.5	9.0	11.8	
SALTA AERO	Temperatura (°C)	21.5	20.6	19.4	16.8	13.3	10.9	10.1	12.8	15.8	19.3	20.6	21.7	
SALTA AERO	Temperatura máxima (°C)	27.7	26.5	25.1	22.9	20.3	19.8	19.9	22.7	24.7	26.9	27.6	28.4	
SALTA AERO	Temperatura mínima (°C)	16.8	16.1	15.2	12.2	8.1	4.5	2.9	4.8	7.7	12.1	14.2	16.0	
SALTA AERO	Humedad relativa (%)	77.2	80.6	82.9	82.3	80.5	75.6	69.3	60.4	55.8	60.6	66.1	71.5	
SALTA AERO	Velocidad del Viento (km/h) (2011-2020)	6.8	6.4	6.1	6.0	5.8	6.1	6.5	6.9	7.9	9.0	8.6	7.6	
SALTA AERO	Nubosidad total (octavos)	5.8	5.8	5.8	5.4	5.0	4.2	3.4	2.9	3.3	4.4	4.8	5.3	
SALTA AERO	Precipitación (mm)	197.1	147.3	107.3	42.1	9.7	2.5	2.7	2.3	5.7	23.9	59.3	138.4	
SALTA AERO	Frecuencia de días con Precipitación superior a 1.0 mm	12.4	11.2	10.1	4.4	1.7	0.5	0.8	0.7	1.2	3.3	6.6	10.1	
LAS LOMITAS	Temperatura (°C)	28.3	27.0	25.7	22.7	18.9	17.2	16.6	19.3	21.8	24.9	25.9	27.6	
LAS LOMITAS	Temperatura máxima (°C)	35.5	34.0	32.7	29.2	25.2	23.8	24.2	27.6	29.9	32.3	33.2	34.6	
LAS LOMITAS	Temperatura mínima (°C)	22.1	21.5	20.3	17.8	14.1	12.5	10.8	12.6	15.0	18.6	19.6	21.3	
LAS LOMITAS	Humedad relativa (%)	67.9	71.7	74.1	77.4	80.0	78.5	70.8	61.5	59.2	63.2	66.0	68.1	
LAS LOMITAS	Velocidad del Viento (km/h) (2011-2020)	5.4	5.2	4.7	4.6	4.5	4.8	5.2	6.3	6.1	6.6	5.7	5.4	
LAS LOMITAS	Nubosidad total (octavos)	3.9	3.9	3.7	4.1	4.3	4.5	3.6	3.0	3.3	3.8	3.6	3.8	
LAS LOMITAS	Precipitación (mm)	130.3	121.4	156.4	95.4	65.4	16.9	15.6	11.9	26.3	70.3	128.0	129.3	
LAS LOMITAS	Frecuencia de días con Precipitación superior a 1.0 mm	6.7	7.0	7.5	6.4	4.9	3.1	2.2	1.4	2.7	5.6	7.4	6.9	
IGUAZÚ AERO	Temperatura (°C)	25.8	25.2	24.3	21.6	17.8	16.5	15.9	17.9	19.9	22.4	23.7	25.2	
IGUAZÚ AERO	Temperatura máxima (°C)	32.0	31.5	30.6	27.8	23.5	22.2	22.5	25.2	26.8	28.7	30.1	31.3	
IGUAZÚ AERO	Temperatura mínima (°C)	20.7	20.4	19.4	16.9	13.4	12.2	11.0	12.3	14.3	17.0	17.9	19.8	
IGUAZÚ AERO	Humedad relativa (%)	79.0	80.5	80.9	83.8	87.5	88.6	85.0	78.9	77.0	78.8	75.8	77.9	
IGUAZÚ AERO	Velocidad del Viento (km/h) (2011-2020)	9.1	9.0	8.4	8.7	8.9	9.5	10.1	11.1	10.9	10.8	10.1	9.7	
IGUAZÚ AERO	Nubosidad total (octavos)	3.9	4.0	3.4	3.2	3.6	3.8	3.5	3.2	3.8	4.1	3.5	3.8	
IGUAZÚ AERO	Precipitación (mm)	180.1	149.9	153.3	161.1	185.5	145.5	107.0	83.7	155.3	247.0	172.3	219.0	
IGUAZÚ AERO	Frecuencia de días con Precipitación superior a 1.0 mm	9.3	8.9	8.0	7.4	7.8	7.7	7.1	5.9	8.3	11.4	8.4	9.6	
TUCUMÁN AERO	Temperatura (°C)	25.3	24.2	22.7	19.6	15.9	13.0	12.3	15.2	18.4	21.8	23.7	25.1	
TUCUMÁN AERO	Temperatura máxima (°C)	31.3	29.7	27.9	24.9	21.4	19.0	19.4	23.3	26.3	28.9	30.3	31.3	
TUCUMÁN AERO	Temperatura mínima (°C)	20.3	19.7	18.5	15.5	11.8	8.5	6.9	8.7	11.5	15.4	17.7	19.5	
TUCUMÁN AERO	Humedad relativa (%)	65.2	68.9	72.8	75.3	74.9	72.7	62.9	52.2	49.2	54.7	57.3	61.3	
TUCUMÁN AERO	Velocidad del Viento (km/h) (2011-2020)	9.2	8.6	7.7	7.7	7.0	6.8	7.5	8.8	10.0	10.6	10.7	10.0	
TUCUMÁN AERO	Nubosidad total (octavos)	4.0	4.1	4.2	4.4	4.3	4.2	3.2	2.6	3.1	3.8	3.7	3.9	
TUCUMÁN AERO	Precipitación (mm)	139.3	106.5	94.3	39.9	16.0	9.3	1.6	3.5	10.0	55.2	71.8	105.0	
