fecha,temp_max,temp_min,estación
2025-09-09,23.1,11.2,AEROPARQUE AERO
2025-09-09,20.4,3.2,AZUL AERO
2025-09-09,23.3,2.0,BAHIA BLANCA AERO
2025-09-09,5.8,0.3,BARILOCHE AERO
2025-09-09,-8.2,-15.6,BASE BELGRANO II
2025-09-09,-0.1,-3.5,BASE CARLINI (EX JUBANY)
2025-09-09,3.2,-13.3,BASE ESPERANZA
2025-09-09,1.2,-16.8,BASE MARAMBIO
2025-09-09,-2.2,-24.2,BASE ORCADAS
2025-09-09,1.8,-14.2,BASE SAN MARTIN
2025-09-09,20.5,1.2,BENITO JUAREZ
2025-09-09,19.2,12.8,BERNARDO DE IRIGOYEN AERO
2025-09-09,21.5,5.2,BOLIVAR AERO
2025-09-09,23.9,9.5,BUENOS AIRES OBSERVATORIO
2025-09-09,22.0,4.6,CAMPO DE MAYO AERO
2025-09-09,29.5,10.2,CATAMARCA AERO
2025-09-09,26.0,8.0,CERES AERO
2025-09-09,28.9,8.5,CHAMICAL AERO
2025-09-09,8.0,1.5,CHAPELCO AERO
2025-09-09,27.7,10.6,CHEPES
2025-09-09,28.3,7.7,CHILECITO AERO
2025-09-09,11.7,3.8,COMODORO RIVADAVIA AERO
2025-09-09,22.7,8.0,CONCORDIA AERO
2025-09-09,25.4,4.9,CORDOBA AERO
2025-09-09,26.2,6.6,CORDOBA OBSERVATORIO
2025-09-09,21.4,0.2,CORONEL SUAREZ AERO
2025-09-09,23.1,12.3,CORRIENTES AERO
2025-09-09,20.8,7.8,DOLORES AERO
2025-09-09,11.1,4.5,EL BOLSON AERO
2025-09-09,10.4,3.4,EL CALAFATE AERO
2025-09-09,22.0,4.0,EL PALOMAR AERO
2025-09-09,,5.0,ESCUELA DE AVIACION MILITAR AERO
2025-09-09,12.7,2.5,ESQUEL AERO
2025-09-09,22.0,5.5,EZEIZA AERO
2025-09-09,22.5,13.7,FORMOSA AERO
2025-09-09,25.3,4.6,GENERAL PICO AERO
2025-09-09,16.0,1.0,GOBERNADOR GREGORES AERO
2025-09-09,22.2,5.6,GUALEGUAYCHU AERO
2025-09-09,23.0,14.3,IGUAZU AERO
2025-09-09,22.4,14.4,ITUZAINGO
2025-09-09,29.0,2.9,JACHAL
2025-09-09,27.8,9.4,JUJUY AERO
2025-09-09,26.1,7.2,JUJUY U N
2025-09-09,22.5,4.8,JUNIN AERO
2025-09-09,22.7,5.8,LA PLATA AERO
2025-09-09,19.5,-5.6,LA QUIACA OBSERVATORIO
2025-09-09,30.2,8.5,LA RIOJA AERO
2025-09-09,23.6,4.6,LABOULAYE AERO
2025-09-09,21.0,8.0,LAS FLORES
2025-09-09,28.5,13.8,LAS LOMITAS
2025-09-09,24.0,1.1,MALARGUE AERO
2025-09-09,12.8,4.0,MAQUINCHAO
2025-09-09,19.9,6.6,MAR DEL PLATA AERO
2025-09-09,23.5,3.8,MARCOS JUAREZ AERO
2025-09-09,,6.0,MARIANO MORENO AERO
2025-09-09,26.2,7.5,MENDOZA AERO
2025-09-09,,8.0,MENDOZA OBSERVATORIO
2025-09-09,22.0,7.8,MERCEDES AERO (CTES)
2025-09-09,,6.5,MERLO AERO
2025-09-09,28.4,10.0,METAN
2025-09-09,22.2,8.8,MONTE CASEROS AERO
2025-09-09,21.5,7.4,MORON AERO
2025-09-09,23.2,11.2,NEUQUEN AERO
2025-09-09,22.0,6.6,NUEVE DE JULIO
2025-09-09,23.0,14.5,OBERA
2025-09-09,20.5,2.5,OLAVARRIA AERO
2025-09-09,32.3,11.2,ORAN AERO
2025-09-09,22.4,8.5,PARANA AERO
2025-09-09,14.0,4.6,PASO DE INDIOS
2025-09-09,21.4,11.2,PASO DE LOS LIBRES AERO
2025-09-09,21.4,7.0,PEHUAJO AERO
2025-09-09,12.9,2.4,PERITO MORENO AERO
2025-09-09,21.2,3.8,PIGUE AERO
2025-09-09,24.2,6.8,PILAR OBSERVATORIO
2025-09-09,22.4,14.5,POSADAS AERO
2025-09-09,24.2,12.1,PRESIDENCIA ROQUE SAENZ PEÑA AERO
2025-09-09,8.0,4.4,PUERTO DESEADO AERO
2025-09-09,20.2,7.8,PUERTO MADRYN AERO
2025-09-09,20.8,,PUNTA INDIO B.A.
2025-09-09,24.2,9.6,RAFAELA AERO
2025-09-09,24.0,8.3,RECONQUISTA AERO
2025-09-09,23.4,11.3,RESISTENCIA AERO
2025-09-09,25.5,3.7,RIO CUARTO AERO
2025-09-09,7.3,4.0,RIO GALLEGOS AERO
2025-09-09,5.2,1.5,RIO GRANDE B.A.
2025-09-09,27.0,13.8,RIVADAVIA
2025-09-09,22.6,5.2,ROSARIO AERO
2025-09-09,25.5,6.8,SALTA AERO
2025-09-09,23.5,6.6,SAN ANTONIO OESTE AERO
2025-09-09,22.5,6.3,SAN FERNANDO AERO
2025-09-09,29.5,7.6,SAN JUAN AERO
2025-09-09,8.4,3.4,SAN JULIAN AERO
2025-09-09,26.7,9.1,SAN LUIS AERO
2025-09-09,26.2,5.3,SAN MARTIN (MZA)
2025-09-09,26.4,6.5,SAN RAFAEL AERO
