pclass,sex,age,sibsp,fare,class,embark_town
2,female,24.0,0,13.0,Second,Southampton
3,male,,0,7.725,Third,Queenstown
3,female,,0,7.75,Third,Queenstown
3,male,16.0,0,8.05,Third,Southampton
3,male,,0,7.75,Third,Queenstown
2,male,36.5,0,26.0,Second,Southampton
3,male,20.5,0,7.25,Third,Southampton
3,male,21.0,0,7.775,Third,Southampton
3,male,20.0,0,7.2292,Third,Cherbourg
1,female,,0,55.0,First,Southampton
1,male,45.0,1,83.475,First,Southampton
2,female,19.0,0,26.0,Second,Southampton
1,male,47.0,0,25.5875,First,Southampton
3,male,38.0,0,8.6625,Third,Southampton
2,male,,0,0.0,Second,Southampton
3,female,39.0,1,31.275,Third,Southampton
3,male,30.0,0,8.05,Third,Southampton
3,male,24.0,0,7.7958,Third,Southampton
1,male,25.0,1,55.4417,First,Cherbourg
1,male,,0,27.7208,First,Cherbourg
3,male,,0,8.05,Third,Southampton
1,male,25.0,1,91.0792,First,Cherbourg
1,female,35.0,0,512.3292,First,Cherbourg
3,female,29.0,0,21.075,Third,Southampton
1,female,45.0,1,164.8667,First,Southampton
1,female,47.0,1,52.5542,First,Southampton
1,female,26.0,0,78.85,First,Southampton
1,male,29.0,0,30.0,First,Southampton
3,male,,0,6.8583,Third,Queenstown
3,male,16.0,0,8.05,Third,Southampton
1,male,51.0,0,61.3792,First,Cherbourg
1,female,58.0,0,146.5208,First,Cherbourg
1,female,15.0,0,211.3375,First,Southampton
1,male,,0,27.7208,First,Cherbourg
3,male,30.0,0,9.5,Third,Southampton
3,female,14.0,0,7.8542,Third,Southampton
3,male,,0,7.775,Third,Southampton
3,male,21.0,0,7.925,Third,Southampton
3,male,21.0,0,7.7333,Third,Queenstown
2,male,18.0,0,11.5,Second,Southampton
3,male,36.0,0,0.0,Third,Southampton
3,male,48.0,0,7.8542,Third,Southampton
2,female,23.0,0,13.7917,Second,Cherbourg
1,male,54.0,0,77.2875,First,Southampton
3,female,,0,7.8292,Third,Queenstown
1,female,21.0,0,77.9583,First,Southampton
3,female,4.0,0,13.4167,Third,Cherbourg
3,male,21.0,0,16.1,Third,Southampton
1,male,56.0,0,26.55,First,Southampton
1,male,22.0,0,135.6333,First,Cherbourg
2,male,,0,0.0,Second,Southampton
3,male,,8,69.55,Third,Southampton
2,male,28.0,0,33.0,Second,Southampton
3,male,19.0,0,10.1708,Third,Southampton
3,male,,0,7.25,Third,Southampton
2,male,21.0,0,73.5,Second,Southampton
3,male,4.0,3,27.9,Third,Southampton
2,male,34.0,0,13.0,Second,Southampton
3,male,26.0,0,18.7875,Third,Cherbourg
3,male,30.0,0,8.05,Third,Southampton
3,male,,0,7.75,Third,Queenstown
1,male,56.0,0,30.6958,First,Cherbourg
3,male,28.5,0,7.2292,Third,Cherbourg
3,male,25.0,0,7.225,Third,Cherbourg
3,male,32.0,0,8.3625,Third,Southampton
1,male,24.0,0,247.5208,First,Cherbourg
2,male,23.0,0,13.0,Second,Southampton
3,female,29.0,1,10.4625,Third,Southampton
1,female,38.0,0,227.525,First,Cherbourg
3,male,26.0,0,7.8958,Third,Southampton
2,female,24.0,1,26.0,Second,Southampton
3,male,,0,7.225,Third,Cherbourg
2,male,24.0,2,73.5,Second,Southampton
3,male,28.0,0,9.5,Third,Southampton
3,male,,0,56.4958,Third,Southampton
3,male,28.0,2,7.925,Third,Southampton
2,female,44.0,1,26.0,Second,Southampton
3,female,15.0,0,8.0292,Third,Queenstown
3,male,36.0,0,7.8958,Third,Southampton
3,male,17.0,1,7.0542,Third,Southampton
3,male,35.0,0,7.8958,Third,Cherbourg
2,female,28.0,0,13.0,Second,Southampton
3,female,24.0,0,8.85,Third,Southampton
3,male,33.0,1,20.525,Third,Southampton
2,male,29.0,1,27.7208,Second,Cherbourg
3,male,34.0,0,8.05,Third,Southampton
3,male,20.0,0,9.5,Third,Southampton
2,male,3.0,1,18.75,Second,Southampton
3,male,30.0,0,7.225,Third,Cherbourg
3,male,16.0,0,7.775,Third,Southampton
3,male,,0,8.05,Third,Southampton
1,female,33.0,1,53.1,First,Southampton
1,male,45.0,0,26.55,First,Southampton
3,male,25.0,0,7.8958,Third,Southampton
1,female,62.0,0,80.0,First,
1,female,16.0,0,86.5,First,Southampton
3,male,17.0,0,8.6625,Third,Southampton
1,male,62.0,0,26.55,First,Southampton
3,male,22.0,0,7.8958,Third,Southampton
2,male,0.83,1,18.75,Second,Southampton
3,male,23.0,0,7.8542,Third,Southampton
3,male,26.0,1,20.575,Third,Southampton
2,male,39.0,0,26.0,Second,Southampton
1,male,38.0,0,0.0,First,Southampton
1,male,50.0,1,106.425,First,Cherbourg
3,male,,0,7.7375,Third,Queenstown
2,female,38.0,0,13.0,Second,Southampton
3,female,31.0,1,18.0,Third,Southampton
2,male,39.0,0,13.0,Second,Southampton
3,male,33.0,0,8.6542,Third,Southampton
2,male,46.0,0,26.0,Second,Southampton
1,male,61.0,0,33.5,First,Southampton
3,female,2.0,4,31.275,Third,Southampton
1,male,,0,39.6,First,Cherbourg
3,male,14.0,5,46.9,Third,Southampton
1,female,48.0,1,39.6,First,Cherbourg
1,female,50.0,0,28.7125,First,Cherbourg
3,male,7.0,4,29.125,Third,Queenstown
3,male,23.0,0,7.8958,Third,Southampton
1,male,,0,0.0,First,Southampton
3,male,10.0,3,27.9,Third,Southampton
3,male,25.0,1,7.775,Third,Southampton
2,female,28.0,0,12.65,Second,Southampton
2,male,,0,15.05,Second,Cherbourg
3,male,27.0,1,14.4542,Third,Cherbourg
3,male,19.0,0,8.05,Third,Southampton
3,male,47.0,0,9.0,Third,Southampton
3,male,30.0,0,7.2292,Third,Cherbourg
3,female,,0,7.75,Third,Queenstown
3,male,,0,7.225,Third,Cherbourg
3,male,19.0,0,7.8958,Third,Southampton
3,male,24.0,0,7.8958,Third,Southampton
3,male,4.0,4,31.275,Third,Southampton
1,female,53.0,2,51.4792,First,Southampton
3,female,,0,7.75,Third,Queenstown
3,male,20.0,0,7.8542,Third,Southampton
3,male,42.0,0,8.6625,Third,Southampton
3,male,3.0,4,31.3875,Third,Southampton
2,male,,0,13.0,Second,Southampton
3,male,30.0,0,7.25,Third,Southampton
2,male,1.0,2,39.0,Second,Southampton
2,male,62.0,0,10.5,Second,Southampton
3,male,,0,8.05,Third,Southampton
1,male,,0,30.6958,First,Cherbourg
2,female,28.0,1,24.0,Second,Cherbourg
1,male,61.0,0,32.3208,First,Southampton
1,male,40.0,0,0.0,First,Southampton
