indice_tiempo,turismo_receptivo,turismo_emisivo,saldo
2010-01-01,254.15700000000004,162.68,91.47700000000003
2010-02-01,186.441,186.227,0.21399999999999864
2010-03-01,203.821,167.262,36.559
2010-04-01,207.516,141.75,65.76599999999999
2010-05-01,191.665,154.43,37.234999999999985
2010-06-01,199.736,137.327,62.40899999999999
2010-07-01,236.571,152.299,84.27199999999999
2010-08-01,233.027,164.558,68.469
2010-09-01,226.245,158.674,67.571
2010-10-01,225.967,188.198,37.769000000000005
2010-11-01,239.711,152.463,87.24800000000002
2010-12-01,243.012,134.965,108.047
2011-01-01,289.635,196.652,92.983
2011-02-01,203.766,235.252,-31.48600000000002
2011-03-01,237.501,193.656,43.845
2011-04-01,234.815,160.422,74.393
2011-05-01,206.413,169.524,36.88900000000001
2011-06-01,161.923,144.157,17.76599999999999
2011-07-01,232.926,165.239,67.68699999999998
2011-08-01,211.817,176.613,35.20400000000001
2011-09-01,220.302,184.915,35.387
2011-10-01,216.055,202.002,14.052999999999997
2011-11-01,237.843,171.584,66.25899999999999
2011-12-01,239.136,156.61,82.52599999999998
2012-01-01,270.991,219.412,51.57899999999998
2012-02-01,208.946,267.861,-58.91499999999999
2012-03-01,234.33,219.132,15.198000000000008
2012-04-01,221.652,210.415,11.236999999999995
2012-05-01,196.681,200.384,-3.7029999999999745
2012-06-01,189.375,184.127,5.2479999999999905
2012-07-01,215.511,198.687,16.823999999999984
2012-08-01,200.904,185.568,15.335999999999984
2012-09-01,190.988,200.721,-9.733000000000004
2012-10-01,192.459,214.114,-21.655
2012-11-01,211.833,174.102,37.730999999999995
2012-12-01,224.109,157.381,66.72800000000001
2013-01-01,246.539,231.089,15.449999999999989
2013-02-01,177.734,266.272,-88.53799999999998
2013-03-01,198.89,236.691,-37.801000000000016
2013-04-01,181.177,242.495,-61.31800000000001
2013-05-01,172.568,187.238,-14.669999999999987
2013-06-01,175.262,198.768,-23.506
2013-07-01,196.846,218.437,-21.591000000000008
2013-08-01,194.992,199.331,-4.338999999999999
2013-09-01,193.492,211.75,-18.25800000000001
2013-10-01,192.432,226.887,-34.45500000000001
2013-11-01,221.203,190.004,31.199000000000012
2013-12-01,234.036,172.575,61.46100000000001
2014-01-01,241.973,228.0,13.973000000000013
2014-02-01,173.496,264.0,-90.50399999999999
2014-03-01,206.4,222.9,-16.5
2014-04-01,194.3,181.8,12.5
2014-05-01,185.5,208.7,-23.19999999999999
2014-06-01,170.2,190.1,-19.900000000000006
2014-07-01,200.9,205.2,-4.299999999999983
2014-08-01,221.1,213.3,7.799999999999983
2014-09-01,198.3,199.2,-0.8999999999999773
2014-10-01,213.5,208.5,5.0
2014-11-01,226.3,180.8,45.5
2014-12-01,234.7,164.3,70.39999999999998
2015-01-01,255.0,216.2,38.80000000000001
2015-02-01,190.3,251.4,-61.099999999999994
2015-03-01,195.3,245.8,-50.5
2015-04-01,188.6,221.4,-32.80000000000001
2015-05-01,171.7,232.3,-60.60000000000002
2015-06-01,167.9,224.2,-56.29999999999998
2015-07-01,193.5,234.1,-40.599999999999994
2015-08-01,185.8,267.7,-81.89999999999998
2015-09-01,175.1,251.7,-76.6
2015-10-01,175.1,275.9,-100.79999999999998
2015-11-01,195.1,247.7,-52.599999999999994
2015-12-01,211.3,220.6,-9.299999999999983
2016-01-01,228.2,289.7,-61.5
2016-02-01,178.1,317.5,-139.4
2016-03-01,184.4,301.9,-117.49999999999997
2016-04-01,177.1,257.4,-80.29999999999998
2016-05-01,164.1,264.2,-100.1
2016-06-01,155.6,270.3,-114.70000000000002
2016-07-01,188.4,284.0,-95.6
2016-08-01,189.2,283.0,-93.80000000000001
2016-09-01,176.1,271.5,-95.4
2016-10-01,187.7,311.0,-123.30000000000001
2016-11-01,212.6,254.3,-41.70000000000002
2016-12-01,222.4,235.7,-13.299999999999983
2017-01-01,232.3,325.9,-93.59999999999997
2017-02-01,174.3,353.6,-179.3
2017-03-01,198.6,342.9,-144.29999999999998
