iter	Passed	Remaining
0	55	55112
1	55	27828
2	56	18635
3	56	14099
4	57	11389
5	57	9547
6	58	8238
7	58	7259
8	58	6481
9	59	5860
10	59	5371
11	60	4942
12	60	4609
13	61	4307
14	61	4048
15	61	3806
16	62	3609
17	62	3433
18	63	3267
19	63	3129
20	64	2991
21	64	2870
22	65	2761
23	65	2661
24	65	2563
25	66	2479
26	66	2396
27	67	2330
28	67	2269
29	68	2200
30	68	2140
31	68	2083
32	69	2030
33	69	1975
34	69	1929
35	70	1884
36	70	1847
37	71	1805
38	71	1767
39	72	1733
40	72	1697
41	72	1661
42	73	1628
43	73	1601
44	73	1568
45	74	1543
46	74	1514
47	74	1487
48	75	1464
49	75	1442
50	76	1426
51	76	1402
52	77	1380
53	77	1361
54	78	1343
55	78	1326
56	78	1305
57	79	1286
58	79	1268
59	79	1253
60	80	1239
61	80	1222
62	81	1210
63	81	1196
64	82	1183
65	82	1170
66	82	1155
67	83	1140
68	83	1129
69	84	1117
70	84	1106
71	85	1095
72	85	1084
73	85	1074
74	86	1063
75	86	1052
76	87	1043
77	87	1033
78	87	1025
79	88	1016
80	88	1008
81	89	997
82	89	989
83	89	981
84	90	971
85	90	964
86	91	955
87	91	948
88	91	941
89	92	934
90	93	929
91	93	923
92	94	917
93	94	909
94	94	903
95	95	898
96	95	892
97	96	888
98	97	883
99	98	883
100	98	880
101	99	879
102	100	878
103	101	878
104	102	873
105	103	868
106	103	866
107	104	861
108	104	857
109	105	852
110	105	847
111	106	842
112	106	836
113	107	831
114	107	827
115	107	821
116	108	816
117	108	810
118	108	805
119	109	801
120	109	795
121	110	791
122	110	788
123	111	784
124	111	783
125	112	778
126	112	774
127	113	770
128	113	766
129	113	761
130	114	759
131	114	754
132	115	750
133	115	746
134	115	743
135	116	740
136	116	735
137	117	732
138	117	727
139	117	724
140	118	722
141	119	720
142	119	717
143	120	713
144	120	710
145	120	707
146	121	704
147	121	701
148	122	699
149	122	696
150	123	694
151	123	691
152	124	687
153	124	684
154	125	682
155	125	680
156	126	677
157	126	674
158	127	672
159	127	670
160	128	667
161	128	663
162	128	661
163	129	659
164	129	656
165	130	654
166	130	652
167	131	650
168	131	648
169	132	648
170	133	646
171	133	644
172	134	641
173	134	639
174	135	637
175	135	635
176	136	633
177	136	631
178	137	629
179	137	627
180	138	624
181	138	622
182	139	620
183	139	617
184	139	615
185	140	613
186	141	614
187	141	611
188	141	608
189	142	606
190	142	604
191	143	602
192	143	600
193	143	598
194	144	595
195	144	594
196	145	591
197	145	589
198	145	587
199	146	586
200	146	584
201	147	583
202	148	581
203	148	578
204	148	576
205	149	574
206	149	573
207	150	571
208	150	570
209	151	568
210	151	567
211	152	565
212	152	563
213	153	562
214	153	560
215	153	558
216	154	557
217	154	555
218	155	554
219	155	552
220	156	550
221	156	548
222	157	547
223	157	546
224	158	544
225	158	543
226	159	541
227	159	539
228	159	537
229	160	535
230	160	534
231	160	532
232	161	531
233	161	530
234	162	528
235	162	527
236	163	525
237	163	524
238	164	523
239	164	522
240	165	521
241	165	519
242	166	517
243	166	516
244	167	515
245	167	513
246	168	512
247	168	510
248	168	509
249	169	507
250	169	506
251	170	505
252	170	504
253	171	502
254	171	501
255	171	499
256	172	498
257	172	497
258	173	496
259	174	495
260	174	494
261	174	492
262	175	491
263	175	489
264	175	487
265	176	487
266	177	486
267	177	484
268	178	484
269	178	483
270	179	481
271	179	480
272	180	479
273	180	478
274	180	476
275	181	475
276	181	474
277	182	473
278	182	472
279	183	471
280	183	470
281	184	469
282	184	467
283	185	467
284	185	465
285	186	464
286	186	463
287	187	462
288	187	461
289	187	460
290	188	459
291	188	457
292	189	456
293	189	455
294	190	454
295	190	453
296	191	452
297	191	451
298	192	450
299	192	449
300	193	448
301	193	447
302	194	446
303	194	445
304	194	444
305	195	442
306	195	442
307	196	441
308	196	440
309	197	439
310	197	438
311	198	437
312	198	436
313	199	435
314	199	433
315	199	432
316	200	431
317	200	430
318	201	429
319	201	428
320	202	427
321	202	426
322	203	425
323	203	425
324	204	424
325	204	423
326	205	422
327	205	421
328	206	420
329	206	419
330	207	418
331	207	417
332	207	416
333	208	415
334	208	413
335	209	413
336	209	412
337	210	411
338	210	410
339	211	409
340	211	409
341	212	408
342	212	407
343	213	406
344	213	405
345	214	404
346	214	403
347	214	402
348	215	401
349	215	400
350	216	399
351	216	398
352	217	397
353	217	396
354	217	396
355	218	395
356	218	394
357	219	393
358	219	392
359	220	391
360	220	390
361	221	389
362	221	388
363	222	388
364	222	387
365	223	386
366	223	385
367	223	384
368	224	383
369	224	382
370	225	381
371	225	380
372	225	379
373	226	378
374	226	378
375	227	376
376	227	376
377	228	375
378	229	376
379	229	375
380	230	374
381	231	373
382	231	372
383	231	372
384	232	371
385	232	370
386	233	369
387	234	369
388	234	368
389	235	367
390	235	366
391	236	366
392	236	365
393	236	364
394	237	363
395	237	362
396	237	361
397	238	360
398	238	359
399	239	359
400	239	358
401	240	357
402	240	356
403	241	355
404	241	355
405	242	354
406	242	353
407	243	352
408	243	352
409	244	351
410	244	350
411	244	349
412	245	348
413	245	347
414	246	346
415	246	345
416	246	345
417	247	344
418	247	343
419	248	342
420	248	341
421	249	341
422	249	340
423	250	339
424	250	339
425	251	338
426	251	337
427	252	336
428	252	336
429	252	335
430	253	334
431	253	333
432	254	333
433	254	332
434	255	331
435	256	331
436	256	330
437	257	329
438	257	328
439	257	328
440	258	327
441	258	326
442	259	326
443	259	325
444	260	324
445	260	324
446	261	323
447	261	322
448	262	321
449	262	320
450	263	320
451	263	319
452	264	319
453	264	318
454	265	317
455	265	316
456	266	316
457	266	315
458	267	314
459	267	314
460	268	313
461	268	312
462	269	312
463	269	311
464	269	310
465	270	309
466	270	309
467	271	308
468	271	307
469	272	307
470	272	306
471	273	305
472	273	305
473	274	304
474	274	303
475	275	302
476	275	302
477	276	301
478	276	300
479	277	300
480	277	299
481	278	298
482	278	298
483	278	297
484	279	296
485	279	296
486	280	295
487	280	294
488	281	293
489	281	293
490	282	292
491	282	291
492	283	291
493	283	290
494	283	289
495	284	289
496	284	288
497	285	287
498	285	287
499	286	286
500	287	286
501	287	285
502	288	284
503	288	284
504	289	283
505	289	282
506	290	282
507	290	281
508	291	280
509	291	280
510	292	279
511	292	279
512	293	278
513	293	277
514	294	277
515	294	276
516	295	275
517	295	275
518	296	274
519	296	274
520	297	273
521	297	272
522	298	271
523	298	271
524	299	270
525	299	269
526	299	269
527	300	268
528	300	267
529	301	267
530	301	266
531	302	265
532	302	265
533	303	264
534	303	263
535	304	263
536	304	262
537	304	261
538	305	261
539	305	260
540	306	259
541	306	259
542	307	258
543	307	258
544	308	257
545	308	256
546	309	256
547	309	255
548	310	254
549	310	254
550	311	253
551	311	252
552	312	252
553	312	251
554	312	250
555	313	250
556	313	249
557	314	248
558	314	248
559	314	247
560	315	246
561	315	246
562	316	245
563	317	245
564	317	244
565	317	243
566	318	243
567	318	242
568	319	241
569	319	241
570	320	240
571	320	240
572	321	239
573	321	238
574	322	238
575	322	237
576	323	237
577	323	236
578	324	235
579	324	235
580	325	234
581	326	234
582	326	233
583	327	232
584	327	232
585	327	231
586	328	230
587	328	230
588	328	229
589	329	228
590	330	228
591	330	227
592	331	227
593	331	226
594	332	226
595	332	225
596	333	224
597	333	224
598	333	223
599	334	222
600	334	222
601	335	221
602	336	221
603	336	220
604	337	220
605	337	219
606	338	218
607	338	218
608	338	217
609	339	217
610	339	216
611	340	215
612	341	215
613	341	214
614	341	213
615	342	213
616	342	212
617	343	212
618	343	211
619	344	210
620	344	210
621	345	209
622	345	209
623	346	208
624	346	208
625	347	207
626	347	206
627	347	206
628	348	205
629	349	204
630	349	204
631	349	203
632	350	203
633	351	202
634	351	201
635	351	201
636	352	200
637	352	199
638	352	199
639	353	198
640	353	198
641	354	197
642	354	196
643	355	196
644	355	195
645	356	195
646	357	194
647	357	194
648	357	193
649	358	193
650	358	192
651	359	191
652	359	191
653	360	190
654	360	189
655	360	189
656	361	188
657	361	188
658	362	187
659	362	186
660	363	186
661	363	185
662	364	185
663	364	184
664	365	184
665	366	183
666	366	183
667	367	182
668	367	181
669	368	181
670	368	180
671	369	180
672	369	179
673	370	178
674	370	178
675	371	177
676	371	177
677	371	176
678	372	176
679	372	175
680	373	174
681	373	174
682	374	173
683	374	173
684	375	172
685	375	172
686	376	171
687	376	170
688	377	170
689	377	169
690	378	169
691	378	168
692	379	167
693	379	167
694	380	166
695	380	166
696	380	165
697	381	165
698	381	164
699	382	163
700	382	163
701	382	162
702	383	161
703	383	161
704	384	160
705	384	160
706	385	159
707	385	159
708	386	158
709	386	157
710	387	157
711	387	156
712	388	156
713	388	155
714	388	155
715	389	154
716	389	153
717	390	153
718	390	152
719	391	152
720	391	151
721	392	151
722	392	150
723	393	149
724	393	149
725	394	148
726	394	148
727	395	147
728	395	147
729	396	146
730	396	146
731	397	145
732	397	144
733	398	144
734	398	143
735	399	143
736	399	142
737	400	142
738	400	141
739	401	140
740	401	140
741	402	139
742	402	139
743	403	138
744	403	138
745	403	137
746	404	136
747	404	136
748	405	135
749	405	135
750	406	134
751	406	134
752	407	133
753	407	132
754	408	132
755	408	131
756	408	131
757	409	130
758	410	130
759	411	129
760	411	129
761	412	128
762	412	128
763	413	127
764	413	127
765	413	126
766	414	125
767	415	125
768	415	124
769	415	124
770	416	123
771	416	123
772	417	122
773	417	122
774	418	121
775	418	120
776	419	120
777	419	119
778	420	119
779	420	118
780	421	118
781	421	117
782	421	116
783	422	116
784	422	115
785	423	115
786	423	114
787	424	114
788	424	113
789	425	113
790	425	112
791	426	112
792	426	111
793	427	110
794	427	110
795	428	109
796	428	109
797	429	108
798	429	108
799	429	107
800	430	106
801	430	106
802	431	105
803	431	105
804	432	104
805	432	104
806	433	103
807	433	103
808	433	102
809	434	101
810	434	101
811	435	100
812	435	100
813	436	99
814	436	99
815	437	98
816	437	98
817	438	97
818	438	96
819	439	96
820	439	95
821	440	95
822	440	94
823	441	94
824	441	93
825	442	93
826	442	92
827	443	92
828	443	91
829	444	90
830	444	90
831	445	89
832	445	89
833	446	88
834	446	88
835	447	87
836	447	87
837	448	86
838	448	86
839	449	85
840	449	85
841	450	84
842	450	83
843	451	83
844	451	82
845	452	82
846	452	81
847	453	81
848	453	80
849	454	80
850	454	79
851	455	79
852	455	78
853	456	78
854	456	77
855	457	76
856	457	76
857	458	75
858	458	75
859	459	74
860	459	74
861	459	73
862	460	73
863	460	72
864	461	71
865	461	71
866	462	70
867	462	70
868	463	69
869	463	69
870	464	68
871	464	68
872	465	67
873	465	67
874	466	66
875	466	66
876	467	65
877	467	64
878	468	64
879	468	63
880	469	63
881	469	62
882	470	62
883	470	61
884	471	61
885	471	60
886	472	60
887	473	59
888	473	59
889	473	58
890	474	58
891	474	57
892	475	56
893	475	56
894	476	55
895	476	55
896	477	54
897	477	54
898	478	53
899	478	53
900	479	52
901	480	52
902	480	51
903	481	51
904	481	50
905	482	50
906	482	49
907	483	48
908	483	48
909	484	47
910	484	47
911	485	46
912	485	46
913	486	45
914	486	45
915	487	44
916	487	44
917	488	43
918	488	43
919	489	42
920	489	41
921	490	41
922	490	40
923	491	40
924	491	39
925	492	39
926	492	38
927	492	38
928	493	37
929	493	37
930	494	36
931	494	36
932	495	35
933	496	35
934	496	34
935	497	33
936	497	33
937	498	32
938	498	32
939	499	31
940	499	31
941	500	30
942	500	30
943	501	29
944	501	29
945	502	28
946	502	28
947	503	27
948	503	27
949	504	26
950	504	26
951	505	25
952	505	24
953	506	24
954	506	23
955	507	23
956	507	22
957	508	22
958	508	21
959	509	21
960	509	20
961	510	20
962	510	19
963	511	19
964	511	18
965	512	18
966	512	17
967	513	16
968	513	16
969	514	15
970	515	15
971	515	14
972	516	14
973	516	13
974	517	13
975	517	12
976	518	12
977	518	11
978	519	11
979	519	10
980	520	10
981	520	9
982	521	9
983	521	8
984	522	7
985	522	7
986	523	6
987	523	6
988	524	5
989	524	5
990	525	4
991	525	4
992	526	3
993	526	3
994	527	2
995	527	2
996	528	1
997	528	1
998	529	0
999	529	0
